nutrition/0/0,nutrition/0/1,nutrition/1/0,nutrition/1/1,nutrition/2/0,nutrition/2/1,nutrition/3/0,nutrition/3/1,nutrition/4/0,nutrition/4/1,nutrition/5/0,nutrition/5/1,nutrition/6/0,nutrition/6/1,nutrition/7/0,nutrition/7/1,nutrition/8/0,nutrition/8/1,nutrition/9/0,nutrition/9/1,nutrition/10/0,nutrition/10/1,nutrition/11/0,nutrition/11/1,nutrition/12/0,nutrition/12/1,nutrition/13/0,nutrition/13/1,nutrition/14/0,nutrition/14/1,nutrition/15/0,nutrition/15/1,nutrition/16/0,nutrition/16/1,nutrition/17/0,nutrition/17/1,caloriesFromFat,calories,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,directions/0,directions/1,ingredients/0,ingredients/1,ingredients/2,ingredients/3,ingredients/4,ingredients/5,ingredients/6,ingredients/7,ingredients/8,ingredients/9,ingredients/10,servingsNumber,totalTime,cookTime,prepTime,photoUrl,shortDescription,title,directions/2,ingredients/11,ingredients/12,directions/3,ingredients/13,ingredients/14,ingredients/15,ingredients/16,directions/4,directions/5,directions/6,directions/7,ingredients/17,ingredients/18,ingredients/19,ingredients/20,directions/8,tags/7,directions/9,directions/10,directions/11,directions/12,ingredients/21,ingredients/22,ingredients/23,ingredients/24,ingredients/25,ingredients/26,ingredients/27,ingredients/28,ingredients/29,ingredients/30,ingredients/31,ingredients/32,ingredients/33,ingredients/34,ingredients/35,ingredients/36,ingredients/37
Total Fat,4g,Saturated Fat,1g,Sodium,329mg,Carbohydrates,72g,Dietary Fiber,7g,Protein,16g,Sugars,4g,Vitamin C,8mg,Calcium,61mg,Iron,3mg,Thiamin,0mg,Niacin Equivalents,9mg,Vitamin B6,0mg,Magnesium,51mg,Folate,186mcg,Vitamin A - IU,92IU,Cholesterol,4mg,Potassium,323mg,36,394,BUSHâ€™SÂ® beans,pasta,kid friendly,,,,,"Heat a 2-quart sauce pot over medium heat, add bacon, and cook 4 minutes until bacon is crispy. Reduce heat to low, add garlic and thyme, cook for 2 minutes. Add onions; cook 3-4 minutes, until translucent. Add tomatoes and cook for 2 minutes. Add cannellini beans with the liquid and pepper; bring to a simmer. Cook for 15 minutes.",Combine with cooked pasta.,"2 slices smoked bacon, diced",2 tablespoons thinly sliced garlic,1 tablespoon minced thyme,1 cup diced onions,1 cup chopped canned tomatoes,"1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Cannellini Beans, with liquid",1 pinch black pepper,"1 pound wagon wheel pasta, cooked according to package directions",1 tablespoon purchased pesto,,,6 servings, 30   Minutes, 20   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146111.jpg,"'I love the taste of bacon with pesto in this pasta and the BUSHâ€™S<sup>Â®</sup> Beans have a fresh taste.' Giovanna, MN - Member of the BUSHâ€™S<sup>Â®</sup> Beans Moms and Kids Panel.",Mediterranean Pasta and Pesto,Stir in pesto just before serving.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,17g,Saturated Fat,6g,Sodium,707mg,Carbohydrates,35g,Dietary Fiber,7g,Protein,28g,Sugars,3g,Vitamin C,2mg,Calcium,177mg,Iron,3mg,Thiamin,0mg,Niacin Equivalents,8mg,Vitamin B6,0mg,Magnesium,54mg,Folate,34mcg,Trans Fat,3392IU,Cholesterol,52mg,Potassium,473mg,150,397,black beans,BUSHâ€™SÂ® beans,,,,,,Heat the oven to 350 degrees Fahrenheit.,"Place a large nonstick skillet over medium-high heat.  Add the beef and carrots and cook, breaking up the large pieces, until the meat is no longer pink, about 5 minutes. Drain excess fat.",1 pound lean ground beef (90% lean or higher),1 cup shredded carrots,12 taco shells,"1 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans, drained and rinsed",1 1/2 cups shredded reduced-fat Cheddar cheese,1 cup salsa,2 teaspoons ground cumin,1 teaspoon chili powder,1/2 teaspoon garlic powder,,,6 servings, 25   Minutes, 15   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/208491.jpg,"Created for BUSHâ€™S<sup>Â®</sup> Beans by Liz Weiss, registered dietitian, co-founder of the family-friendly food blog, ""Meal Makeover Moms' Kitchen"" at MealMakeoverMoms.com/kitchen, Kiwi magazine freelance writer, and mom.",Fiesta Beef and Bean Tacos,"While the meat is cooking, bake the taco shells according to package directions.",,,"When the meat is done, add the beans, cheese, salsa, cumin, chili powder, and garlic powder and stir to combine. Cook until the cheese melts and the mixture is heated through, about 2 minutes.",,,,,Serve in the taco shells with *optional toppings as desired.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,27g,Sodium,2891mg,Dietary Fiber,7g,Protein,24g,Sugars,4g,Cholesterol,52g,Total Carbs,29g,,,,,,,,,,,,,,,,,,,,,,,,461,Soup,chicken,pinto beans,,,,,"For Chipotle Puree: In a blender or food processor, puree chipotle peppers in adobo sauce.  Set aside.  (Keep in the refrigerator for up to three weeks; a great way to add a quick blast of smoky heat to salsas, sauces and eggs.)","For Soup: In a wide pot, heat oil over medium high heat. Season chicken breast with salt and pepper and add to one side of pot.  Cook until golden on both sides.  (Note: chicken should still be raw in the center because it will finish cooking during the rest of the process.)Add onions to the other side of the same pot while chicken is cooking.  Stir occasionally and cook until golden brown and soft.",For Chipotle Puree:,"1 	(7 oz) can  		chipotle peppers in adobo sauce ",<br>,For Soup:,"2 	tablespoons	 		canola oil","8 	oz 			chicken breast","Salt and pepper	","2 	cups 			white onion, sliced (about one onion)","6 	cups 			chicken broth","1 	(16 oz) can 		BUSHâ€™S<sup>Â®</sup> Pinto Beans, drained and rinsed","2 	teaspoons chipotle puree ",4, 30   Minutes, 20   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/aa0b573c-e4b7-45d5-836d-8bd305539762.jpg,"Created for BUSHâ€™S<sup>Â®</sup> Beans by Jeffrey Saad, Chef, Culinary Entrepreneur and Host of â€œUnited Tastes of Americaâ€ù for the Cooking Channel.",Lime Chicken Soup with Pinto Beans and Cilantro Pesto,"Add chicken broth, beans, chipotle puree and salt. Bring to a boil.  Turn heat down to low and cook for 15 minutes while you make the pesto.  ","2 	teaspoons kosher salt ","Â_  	cup 			fresh lime juice",Remove cooked chicken breast from pot to a plate.  Using two forks shred chicken and add back to pot.  Add lime juice to pot and stir.,"12 	corn tortilla chips, broken into Â_"" pieces",<br>,For Cilantro Pesto:,"1 	cup 			cilantro, packed, washed and dried","For Cilantro Pesto: Place cilantro, oil, salt, garlic and cheese into food processor; puree until smooth.","To serve, ladle soup into individual bowls.  Garnish with corn tortilla chips and a spoonful of cilantro pesto.",,,"4 	tablespoons	 		canola oil","Â_ 	teaspoon kosher salt ","2 	garlic cloves, chopped","3 	tablespoons	 		Cotija or Parmesan cheese, grated",,,,,,,,,,,,,,,,,,,,,,,
Total Fat,8g,Saturated Fat,1g,Sodium,319mg,Carbohydrates,17g,Dietary Fiber,4g,Protein,5g,Sugars,1g,Vitamin C,33mg,Calcium,52mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,13mg,Folate,21mcg,Vitamin A - IU,287IU,Cholesterol,4mg,Potassium,141mg,69,143,BUSHâ€™SÂ® beans,party favs,pasta,quick & easy,kid friendly,,,"In a large bowl, combine tomatoes, garlic, cucumbers, red peppers, artichokes, olives, and pasta.",Add beans and gently mix.,1 cup cooked spiral pasta,1 cup seeded and chopped tomatoes,1 clove chopped garlic,"1 cup cucumber cut in 1/2 lengthwise, then 1/4-inch wide pieces",1/2 cup chopped roasted red peppers,"1 (6 ounce) jar marinated artichoke hearts, drained and quartered","2 tablespoons canned black olives, chopped","1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Cannellini Beans, drained and rinsed","2 lemons, juiced",3 tablespoons extra virgin olive oil,1/4 cup crumbled feta cheese,8 servings, 20   Minutes,0   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/166222.jpg,"The mix of cannellini beans, roasted red peppers and artichokes make for a lighter alternative to a traditional pasta salad.",Olive This Bean Pasta Salad,"Add lemon juice and olive oil. Adjust seasoning with salt and pepper. (If time permits, let sit for 1 hour.)",Salt and black pepper to taste,,Sprinkle with feta cheese.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,4g,Saturated Fat,1g,Sodium,810mg,Carbohydrates,38g,Dietary Fiber,9g,Protein,8g,Sugars,10g,Vitamin C,47mg,Calcium,34mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,2mg,Vitamin B6,0mg,Magnesium,27mg,Folate,28mcg,Vitamin A - IU,1151IU,Cholesterol,0mg,Potassium,431mg,32,220,vegetarian,BUSHâ€™SÂ® beans,Soup,,,,,"In a large skillet saute broccoli, onion, and pepper in hot oil over medium-high heat for 2 to 3 minutes or until crisp-tender. Stir in beans, tomato paste, and cumin. Cover and simmer for 10 to 15 minutes or until thoroughly heated. Sprinkle with crumbled tortilla chips before serving.",,1 cup broccoli florets,1 cup chopped onion,"1 medium sweet red or yellow pepper, cut into thin strips",1 tablespoon vegetable oil,1 (28 ounce) can BUSHâ€™S<sup>Â®</sup> Vegetarian Baked Beans,1 (6 ounce) can tomato paste,1/2 teaspoon ground cumin,1 cup coarsely crumbled tortilla chips,,,,6 cups, 25   Minutes, 15   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146432.jpg,Serve as a hearty soup and garnish with crumbled tortilla chips for an added crunch.,Mexicali Bean Pot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,5g,Saturated Fat,2g,Sodium,581mg,Carbohydrates,25g,Dietary Fiber,7g,Protein,7g,Sugars,6g,Vitamin C,3mg,Calcium,28mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,6mg,Vitamin B6,0mg,Magnesium,16mg,Folate,30mcg,Vitamin A - IU,262IU,Cholesterol,6mg,Potassium,604mg,45,178,vegetarian,grilling,BUSHâ€™SÂ® beans,quick & easy,,,,Preheat grill. Brush portobello mushrooms with oil and season with salt and pepper.  Cook on hot grill for three minutes on each side.,"Mix BUSHâ€™S<sup>Â®</sup> Vegetarian Baked Beans and tomatoes. Spoon mixture evenly on each mushroom and grill for an additional five minutes or until warmed throughout. Top with a dollop of sour cream, jalapeno and basil.","8 large (5"" diameter) portobello mushrooms",1 tablespoon canola oil,1 (28 ounce) can BUSHâ€™S<sup>Â®</sup> Vegetarian Baked Beans,"1 tomato, diced","1 jalapeno pepper, diced",8 basil leaves,Salt and pepper to taste,Sour cream,,,,8 servings, 20   Minutes, 10   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/71668.jpg,A delicious vegetarian recipe featuring grilled Portobello mushrooms filled with beans and tomatoes.,Grilled Portobello Stacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,56g,Sodium,2939mg,Dietary Fiber,9g,Protein,74g,Sugars,37g,Cholesterol,223mg,Total Carbs,87g,,,,,,,,,,,,,,,,,,,,,,,,1157,,,,,,,,"For Pig Candy: Preheat oven to 375 degrees F. On large tray lined with foil, thoroughly coat bacon with sugar and cayenne pepper (or rub, if using).  ",Place tray in oven and cook 15 minutes or until bacon is crispy. Set aside. (Note: Bacon can also be cooked on grill set to 375 degrees F over indirect heat/cooler side of grill.)** ,For Pig Candy:,"1	pound			smoked bacon","Â_	cup			brown sugar or Turbinado sugar*","Â_ 	teaspoon		cayenne pepper or 1 teaspoon barbecue rub","1	12-inch sheet		aluminum foil",For Barbecue Cheese Sauce:,"1	tablespoon		unsalted butter","1	each			jalapeno peppers, seeded and diced","1	tablespoon		all-purpose flour","1	cup			half-and-half ","1	teaspoon		red pepper flakes",6, 1 hour 5   Minutes, 35   Minutes, 30   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/c370126a-8276-437a-8752-1740486e8a05.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Baked Beans by Chris Grove, author of outdoor cooking blog, â€œNibble Me Thisâ€ù (www.NibbleMeThis.com). ",Pig Candy BBQ Cheeseburger,"For Barbecue Cheese Sauce: In large sauce pan, heat butter over medium high heat until melted. Add peppers and sautÃ© 2 minutes.","1	cup			shredded cheese (recommend Colby or Cheddar cheese)","Â_	cup			barbecue sauce","Stir in flour and constantly mix 3-4 minutes until sauce thickens and golden-brown color forms. Reduce heat to medium, add half-and-half and whisk until mixed. In small batches, whisk in red pepper flakes and cheese, allow cheese to melt before adding more cheese.",Salt and pepper ,For Burgers:,"3	pounds			ground beef, chilled","1	tablespoon		kosher salt","Add barbecue sauce and pinch of salt and pepper. Whisk until combined (about 1-2 minutes). Taste for seasoning, add additional salt and pepper as needed. ",Pour Barbecue Cheese Sauce into airtight container. Set aside.,,,"1 Â_	teaspoons		ground black pepper","1 Â_	teaspoons		garlic powder","6	each			sandwich buns","1	can (28 ounces)		BUSHâ€™S<sup>Â®</sup> Maple Cured Bacon Baked Beans",,,,,,,,,,,,,,,,,,,,,,,
Total Fat,20g,Sodium,1853mg,Dietary Fiber,9g,Protein,40g,Sugars,20g,Cholesterol,87mg,Total Carbs,49g,,,,,,,,,,,,,,,,,,,,,,,,529,beef,grilled,main,30 minutes to 1 hour,smokehouse tradition,bold recipes,,"For Beef: Lay one piece of plastic wrap on thick cutting board or sturdy counter surface. Using paper towel, dry beef. Place beef on plastic wrap and season with salt and pepper. Place second piece of plastic wrap on top of beef. ","Using meat mallet or bottom of heavy skillet, pound beef evenly until 1/4-inch thick. Do not tear beef. Discard top layer of plastic wrap. (Tip: Alternatively, ask butcher to tenderize meat when buying to skip steps 1 and 2.)",For Beef:,1 pound  beef top round,  Salt and pepper,"4 slices  thick-cut bacon, cooked and chopped",1/2 cup  crumbled blue cheese,"1/2 cup  fresh cilantro, roughly chopped ",2 12-inch sheets plastic wrap,Wooden/metal skewers or toothpicks,"Garnish:  Fresh cilantro, roughly chopped",1 can (22 ounces) BUSHâ€™S<sup>Â®</sup> Smokehouse Tradition Grillinâ€™ Beans<sup>Â®</sup> ,Optional Chipotle Sauce:,4, 50   Minutes, 15   Minutes, 35   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/917c2276-28d1-4d26-a6e8-ea58b9995e6a.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Grillinâ€™ Beans<sup>Â®</sup> exclusively by Chef Jeffrey Saad, grilling expert, television host of numerous food-and cooking-related shows and author of the new cookbook, Jeffrey Saadâ€™s Global Kitchen: Recipes Without Borders. ",Rolled Beef with Blue Cheese and Bacon,"Spread bacon, cheese and cilantro evenly across beef, leaving 2-inch border of uncovered beef.",1 can (7 ounces) chipotle peppers in adobo sauce  ,1 each  Roma tomato,"Fold in sides of beef about 2 inches. Start rolling beef long way, pressing down on filling and tucking beef sides as you roll. ","1/2 each  white onion, peeled","2 cloves  garlic, chopped",1 teaspoon ground cumin,1/2 teaspoon salt,"Place skewers or toothpicks in beef to keep roll closed. (Tip: If using wooden skewers or toothpicks, soak in water for at least 1 hour before use to prevent burning.)","Set clean, well-oiled grill to medium heat. When grill is hot, using tongs, place beef roll on grill. Rotate beef roll 1-2 inches every 2 minutes for 12 minutes or until internal temperature is at least 145 degrees F and dark grill marks appear on all sides of roll.  ","Using tongs, remove roll from grill and place on platter. Let rest for 10 minutes. ","Carefully remove all skewers or toothpicks from beef. Using slicing knife, cut beef at an angle creating 1/2-inch wide angular slices of stuffed beef. Lay slices in overlapping pattern on platter and garnish with cilantro. ",1/4 cup  water,,,,Serve with BUSHâ€™S Smokehouse Tradition Grillinâ€™ Beans.,,"For Optional Chipotle Sauce: Pour entire can of chipotle peppers and sauce in blender or food processor. Puree until smooth. Set aside. (Tip: Store extra chipotle puree in refrigerator for up to three weeks. Puree is a great way to add a quick blast of smoky heat to salsas, sauces and eggs.)","Using tongs, place tomato and onion directly on grill. Cook until charred evenly, about 5 minutes, turning as necessary. ","Remove tomato and onion from grill and place in blender or food processor. Add 3 tablespoons Chipotle Puree, garlic, cumin, salt and water. Puree until smooth. ","Use spoon to drizzle Chipotle Sauce over beef and serve remaining sauce on side, as desired. ",,,,,,,,,,,,,,,,,
Total Fat,6g,Saturated Fat,4g,Sodium,946mg,Carbohydrates,28g,Dietary Fiber,6g,Protein,17g,Sugars,9g,Vitamin C,4mg,Calcium,432mg,Iron,0mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,9mg,Folate,9mcg,Vitamin A - IU,1077IU,Cholesterol,31mg,Potassium,136mg,52,221,black beans,vegetarian,BUSHâ€™SÂ® beans,quick & easy,,,,"Mix together sour cream, cilantro and lime juice in small bowl. Let sit while preparing quesadillas.","Spray frying pan with cooking spray. Heat pan on medium heat until warm and place tortilla in pan. Evenly top with 1/2 of the BUSHâ€™S<sup>Â®</sup> Black Beans, half the mozzarella and feta cheese and 1/4 cup salsa. Top with second tortilla. Heat until brown on one side, about 2 minutes, and flip with spatula. Cook until browned on other side. Repeat with remaining tortillas. Cut each quesadilla into 4 pieces and serve with cilantro sour cream.",Cilantro Sour Cream:,1 cup Fat Free sour cream,6 tablespoons fresh chopped cilantro,2 tablespoons lime juice,Quesadillas:,Cooking spray,4 (8 inch) whole wheat tortillas,"1 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans, drained, rinsed and divided","1/2 cup low fat mozzarella cheese, divided","2 ounces crumbled feta cheese, divided","1/2 cup fresh salsa, divided",4 servings, 18   Minutes, 8   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/9c958de6-5750-4eac-a101-874127e8177e.jpg,Cheesy black bean quesadillas are easy to make and ready in no time! A refreshing cilantro sour cream blend tops these Mexican-inspired favorites.,Zesty Black Bean Quesadillas With Cilantro Sour Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,7g,Saturated Fat,2g,Sodium,445mg,Carbohydrates,34g,Dietary Fiber,4g,Protein,10g,Sugars,3g,Vitamin C,16mg,Calcium,88mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,3mg,Vitamin B6,0mg,Magnesium,17mg,Folate,59mcg,Vitamin A - IU,443IU,Cholesterol,4mg,Potassium,122mg,64,238,black beans,BUSHâ€™SÂ® beans,,,,,,"Heat 2 teaspoons of the oil in a large nonstick skillet over medium-high heat. Add the bell pepper and cook, stirring frequently, until tender, 5 to 7 minutes. Set the skillet aside and use again for cooking the quesadillas.","Place the cooked bell pepper in a large bowl. Stir in the cheese, beans, corn, and barbecue sauce. Divide the mixture evenly and spread over half of each tortilla. Fold over, press down gently and set aside.","6 teaspoons canola oil, divided","1 red bell pepper, cut into 1/4-inch dice",1 1/2 cups shredded reduced-fat Cheddar cheese,"1 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans or BUSHâ€™S<sup>Â®</sup> Reduced Sodium Black Beans, drained and rinsed","1/2 cup frozen corn kernels, thawed",1/3 cup barbecue sauce (use your favorite),8 (8 inch) flour tortillas,"*Optional Toppings: Salsa, guacamole or light sour cream",,,,10 servings, 30   Minutes, 20   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/209556.jpg,"Created for BUSHâ€™S<sup>Â®</sup> Beans by Liz Weiss, registered dietitian, co-founder of the family-friendly food blog, â€œMeal Makeover Moms' Kitchenâ€ù at MealMakeoverMoms.com/kitchen, Kiwi magazine freelance writer, and mom.",Black Bean Quesadilla Triangles,"Heat 1 teaspoon of the remaining oil in the large nonstick skillet over medium-high heat. Add two of the quesadillas and cook, pressing down occasionally with a spatula, until the tortillas become crisp and golden on the bottom, 4 to 5 minutes. Flip the tortillas and cook an additional 3 to 4 minutes.",,,Repeat with the remaining oil and quesadillas. Cut into triangles and serve.,,,,,"Add *optional toppings, as desired.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,7g,Saturated Fat,1g,Sodium,150mg,Carbohydrates,51g,Dietary Fiber,8g,Protein,9g,Sugars,7g,Vitamin C,58mg,Calcium,45mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,3mg,Vitamin B6,0mg,Magnesium,35mg,Folate,32mcg,Vitamin A - IU,1174IU,Cholesterol,0mg,Potassium,358mg,59,288,garbanzo,vegetarian,BUSHâ€™SÂ® beans,party favs,pasta,,,Make couscous per directions on the box.,"Place couscous in large bowl, add raisins and set aside.",1 (10 ounce) box couscous,1/2 cup raisins,2 cups water,"2 lemons, zested and juiced",3 tablespoons extra virgin olive oil,"1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Garbanzo Beans, drained",1 cup chopped and seeded red bell pepper,"2 cups peeled, seeded, chopped cucumber","2 cups cherry tomatoes, cut into halves",1/2 cup chopped fresh parsley,1/2 cup chopped fresh mint,8 servings, 1 hour 15   Minutes, 45   Minutes, 30   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/166227.jpg,"Try this couscous packed with cucumber, tomatoes, peppers, garbanzo beans and a hint of mint as a healthier alternative to summer potato salad.","Couscous with Lemon Zest, Mint and Garbanzo Beans","Combine water, lemon zest, and 2 tablespoons olive oil in a small pot. Bring to simmer, pour over couscous mixture and stir. Season with salt and pepper. Cover tightly with plastic wrap, let sit for 15 minutes.",Salt and black pepper to taste,,"Remove plastic wrap, gently fluff with fork. Set aside.",,,,,"In a large bowl, combine beans, red pepper, cucumber, and tomatoes. Pour in lemon juice and remaining olive oil. Season with salt and pepper. Let sit for 15 minutes.","Combine fluffed couscous, garbanzo bean mixture, parsley and mint in a large serving platter. Gently toss to combine. Adjust seasonings with salt and pepper.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,7g,Saturated Fat,2g,Sodium,1017mg,Carbohydrates,16g,Dietary Fiber,5g,Protein,7g,Sugars,3g,Vitamin C,7mg,Calcium,26mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,10mg,Folate,9mcg,Vitamin A - IU,139IU,Cholesterol,12mg,Potassium,159mg,63,159,BUSHâ€™SÂ® beans,Soup,kid friendly,,,,,"Heat a 2-quart sauce pot over medium, add the raw bacon and cook 4 minutes until the bacon is crispy.","Add the onions and cook 3-4 minutes, until translucent. Add the garlic, herbs, and chili flakes, cook for 1 minute. Add the tomatoes and cook for 2 minutes. Add the cannellini beans with their liquid and chicken stock, bring to a simmer. Let cook for 15 minutes. Season with salt and pepper to taste.","3 slices smoked bacon, chopped",1 cup diced onion,1 tablespoon minced garlic,1/2 tablespoon minced oregano,1/2 tablespoon minced thyme,1 pinch chili flakes,1 cup chopped canned tomatoes,"1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Cannellini Beans, with liquid",3 cups chicken stock,1/4 teaspoon salt,1 pinch black pepper,6 servings, 30   Minutes, 20   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146107.jpg,"'This is a great dish for cold Montana winters. My children love tomato soup and the beans make it special.' Bettina, MT - Member of the BUSHâ€™S<sup>Â®</sup> Beans Moms and Kids Panel.",Smoky White Bean and Tomato Soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,47g,Sodium,1866mg,Dietary Fiber,4g,Protein,35g,Sugars,57g,Cholesterol,83mg,Total Carbs,84g,,,,,,,,,,,,,,,,,,,,,,,,881,chicken,grilled,main,30 minutes to 1 hour,sweet mesquite,bold recipes,,"For Chicken: In large plastic resealable bag, combine vinegar, oil, sugar and steak seasoning. Squeeze bag to mix and set aside.",Slice chicken into 1 1/2-2-inch strips. Each breast should yield about 3 strips. Add strips to bag and refrigerate 3 hours to overnight.,For Chicken: ,1/2 cup balsamic vinegar ,1 cup  olive oil   ,3 tablespoons brown sugar  ,2 tablespoons steak seasoning,"6-8 each skinless, boneless chicken breasts",1 each large plastic resealable bag ,For Sauce:,"8-10 slices thick-cut bacon, diced",3 tablespoons  Worchester sauce,1 tablespoon hot sauce,6, 40   Minutes, 25   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/62dfdaa2-0d44-4be3-8612-68ceef1891b2.jpg,"Balsamic vinegar and brown sugar combine to create a simple, delicious classic. Featuring BUSH'S<sup>Â®</sup> Sweet Mesquite Grillinâ€™ Beans<sup>Â®</sup>.",Simple Scrumptious Grilled Chicken,"For Sauce: In small fry pan, cook bacon until crisp. Remove bacon from pan and place on paper towels. Drain most of remaining bacon grease from pan. While pan is still hot, add bacon back to pan with Worchester, hot sauce and honey, mix together and allow sauce to heat up. Turn off heat and set sauce aside.  ",1 cup honey,1 can (21.5 ounces) BUSHâ€™S<sup>Â®</sup> Sweet Mesquite Grillinâ€™ Beans<sup>Â®</sup>,"Set clean, well-oiled grill to medium-high heat. When grill is hot, using tongs, place chicken on grill and cook 4-6 minutes on each side or until internal temperature is at least 165 degrees F. ",,,,,"Using tongs, remove chicken from grill and place in large bowl.  ","Cover chicken with 1/2 of sauce and toss to evenly coat, using tongs. Serve remaining sauce with chicken for dipping. ",Serve with BUSHâ€™S<sup>Â®</sup> Sweet Mesquite Grillinâ€™ Beans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,19g,Saturated Fat,9g,Sodium,1263mg,Carbohydrates,44g,Dietary Fiber,5g,Protein,34g,Sugars,5g,Vitamin C,6mg,Calcium,518mg,Iron,4mg,Thiamin,0mg,Niacin Equivalents,12mg,Vitamin B6,0mg,Magnesium,38mg,Folate,67mcg,Vitamin A - IU,831IU,Cholesterol,82mg,Potassium,374mg,171,497,BUSHâ€™SÂ® beans,quick & easy,,,,,,Preheat the oven to 400 degrees F.,"In a large skillet, brown the ground beef and onion over medium heat; drain. Add the BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter and diced tomatoes; mix well. Spread equal amounts of the mixture over the pitas and top with the cheese.",1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter,1 pound ground beef,"1 onion, chopped","1 (14.5 ounce) can diced tomatoes, drained",6 (6 inch) pita breads,3 cups shredded mozzarella cheese (see Note),,,,,,6 servings, 20   Minutes, 10   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/216342.jpg,"These fun and zesty chili-topped pizzas use pita bread rounds as the crust.  They're fast, easy, and delicious.",Easy Chili Pizza,"Place on rimmed baking sheets and bake for 10 to 12 minutes, or until the cheese is melted and the pita is crisp. Cut into wedges and serve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
